Host,Price,CPU,RAM,Disk,Disk Type,Bandwidth
[Contabo](https://contabo.com/?show=vps),€7.99/mo,4,10 GB,700 GB,Hybrid,Unlimited
[Google Cloud](https://cloud.google.com/),$93/yr,2,8 GB,30 GB,SSD,Unlimited
[Hostigger](https://www.hostigger.com/vps),$10/mo,2,8 GB,50 GB,SSD,10 TB
[VPSDime](https://vpsdime.com/),$7/mo,4,6 GB,30 GB,SSD,2 TB
[Hosodo](https://hostodo.com/ssd-kvm),$9.99/mo,4,4 GB,100 GB,SSD,6 TB
[Cheap Windows VPS](http://cheapwindowsvps.com/),$9/mo,2,4 GB,60 GB,SSD,Unlimited
[GalaxyGate](https://galaxygate.net/hosting/vps/),$10/mo,2,4 GB,30 GB,NVMe,Unlimited
[NexusBytes](https://my.nexusbytes.com/cart.php?gid=23),$10/mo,2,4 GB,40 GB,SSD,4 TB
[Time4VPS](https://www.time4vps.com/linux-vps/),€5.99/mo,1,4 GB,40 GB,HDD,4 TB
[Dedipath](https://dedipath.com/ssd-vps),$9.50/mo,2,3 GB,90 GB,SSD,Unlimited
[Scaleway](https://www.scaleway.com/en),€7.20/mo,2,2 GB,20 GB,NVMe,Unlimited
[DigitalOcean](https://www.digitalocean.com/pricing/),$10/mo,1,2 GB,50 GB,SSD,2 TB
[AWS](https://aws.amazon.com/savingsplans/pricing/),$120/yr,2,2 GB,10 GB,SSD,Unlimited
[Letbox](https://my.letbox.com/index.php?rp=/store/la-nvme-bbox),$10/mo,2,3 GB,40 GB,NVMe,8 TB
[Host Namaste](https://www.hostnamaste.com/openvz-vps.php),$9.99/mo,2,2 GB,50 GB,HDD,3 TB
[Los Angeles VPS](https://www.losangelesvps.com/vps-hosting/),$10/mo,2,2 GB,40 GB,SSD,Unlimited
[Hostinger](https://www.hostinger.com/vps-hosting),$8.95/mo,2,2 GB,40 GB,SSD,2 TB
[Host4Fun](https://client.host4fun.com/cart.php?gid=43),$7/mo,2,2 GB,25 GB,SSD,1 TB
[SkySilk](https://www.skysilk.com/cloud/),$10/mo,1,2 GB,30 GB,NVMe,Unlimited
[Vultr](https://www.vultr.com/products/cloud-compute/),$10/mo,1,2 GB,55 GB,SSD,2 TB
[FlipperHost](https://flipperhost.com/),$9.95/mo,4,2 GB,100 GB,HDD,8 TB
[TheStack](https://thestack.net/vps),$9/mo,4,2 GB,50 GB,HDD,3 TB
[ExtraVM](https://extravm.com/vps.php),$10/mo,2,2 GB,30 GB,SSD,3 TB
[HyperExpert](https://www.hyperexpert.com/features.php#vps-plans),$6.98/mo,2,2 GB,40 GB,Hybrid,Unlimited
[RamNode](https://www.ramnode.com/),$10/mo,2,2 GB,65 GB,SSD,3 TB
[Virmach](https://virmach.com/cheap-kvm-linux-vps-windows-vps/),$10/mo,2,2 GB,40 GB,SSD,2 TB
[StockVPS](https://stockvps.com/),$10/mo,2,2 GB,50 GB,HDD,2 TB
[Linode](https://www.linode.com/),$10/mo,1,2 GB,50 GB,SSD,2 TB
[SoftShellWeb](https://softshellweb.com/vps-hosting-usa),$7/mo,1,2 GB,40 GB,SSD,Unlimited
[Host Pls](https://host-pls.com/),$6.99/mo,2,2 GB,25 GB,SSD,200 GB
[Host Sailor](https://hostsailor.com/vps-hosting/kvm-vps/),$6.99/mo,4,1 GB,30 GB,HDD,1 TB
[CreeperHost](https://www.creeperhost.net/services),2,1 GB,5 GB,SSD,Unlimited
[SimpleNode](https://simplenode.co/),$10/mo,2,1 GB,30 GB,HDD,500 GB
[Hudson Valley Host](https://hudsonvalleyhost.com/self-managed-vps-2/),$7/mo,1,1 GB,100 GB,HDD,2 TB
[Catalyst](https://catalysthost.com/kvm/),$10/mo,1,1 GB,50 GB,HDD,10 TB
[Ideastack](https://ideastack.com/),$5.33/mo,1,1 GB,30 GB,SSD,1 TB
[PakCloudHost](https://www.pakcloudhost.com/vps-hosting/),$10/mo,1,1 GB,20 GB,HDD,1 TB
[AcroServers](https://acroservers.com/vps_cloud),€5/mo,1,512 MB,10 G,SSD,500 GB
